dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018
27/03/2020,27,3,2020,0,0,Afghanistan,AF,AFG,37172386
26/03/2020,26,3,2020,33,0,Afghanistan,AF,AFG,37172386
25/03/2020,25,3,2020,2,0,Afghanistan,AF,AFG,37172386
24/03/2020,24,3,2020,6,1,Afghanistan,AF,AFG,37172386
23/03/2020,23,3,2020,10,0,Afghanistan,AF,AFG,37172386
22/03/2020,22,3,2020,0,0,Afghanistan,AF,AFG,37172386
21/03/2020,21,3,2020,2,0,Afghanistan,AF,AFG,37172386
20/03/2020,20,3,2020,0,0,Afghanistan,AF,AFG,37172386
19/03/2020,19,3,2020,0,0,Afghanistan,AF,AFG,37172386
18/03/2020,18,3,2020,1,0,Afghanistan,AF,AFG,37172386
17/03/2020,17,3,2020,5,0,Afghanistan,AF,AFG,37172386
16/03/2020,16,3,2020,6,0,Afghanistan,AF,AFG,37172386
15/03/2020,15,3,2020,3,0,Afghanistan,AF,AFG,37172386
11/03/2020,11,3,2020,3,0,Afghanistan,AF,AFG,37172386
08/03/2020,8,3,2020,3,0,Afghanistan,AF,AFG,37172386
02/03/2020,2,3,2020,0,0,Afghanistan,AF,AFG,37172386
01/03/2020,1,3,2020,0,0,Afghanistan,AF,AFG,37172386
29/02/2020,29,2,2020,0,0,Afghanistan,AF,AFG,37172386
28/02/2020,28,2,2020,0,0,Afghanistan,AF,AFG,37172386
27/02/2020,27,2,2020,0,0,Afghanistan,AF,AFG,37172386
26/02/2020,26,2,2020,0,0,Afghanistan,AF,AFG,37172386
